"","geohash","PLANTA","usuarios","LATITUD","LONGITUD"
"114","ezpb86buj","2",5,39.4787049293518,-0.339310169219971
"115","ezpb86c6y","0",5,39.4784903526306,-0.33858060836792
"116","ezpb86cch","0",5,39.4781899452209,-0.337979793548584
"117","ezpb86ccy","1",5,39.4783186912537,-0.337893962860107
"118","ezpb86cd2","3",5,39.4784045219421,-0.338494777679443
"119","ezpb86ced","1",5,39.4786190986633,-0.338408946990967
"120","ezpb86ced","2",5,39.4786190986633,-0.338408946990967
"121","ezpb86cs4","0",5,39.4787049293518,-0.338408946990967
"122","ezpb86cs4","1",5,39.4787049293518,-0.338408946990967
"123","ezpb86ctb","0",5,39.4790053367615,-0.338494777679443
"124","ezpb86f1z","1",5,39.4783186912537,-0.337507724761963
"125","ezpb86f42","1",5,39.4784045219421,-0.337808132171631
"126","ezpb86f9z","0",5,39.4783186912537,-0.33682107925415
"127","ezpb86fd7","A",5,39.4784045219421,-0.336992740631104
"128","ezpb86fdr","0",5,39.4784045219421,-0.33682107925415
"129","ezpb86fdr","A",5,39.4784045219421,-0.33682107925415
"130","ezpb86fhp","0",5,39.4787049293518,-0.337507724761963
"131","ezpb86fhp","1",5,39.4787049293518,-0.337507724761963
"132","ezpb86fhp","2",5,39.4787049293518,-0.337507724761963
"133","ezpb86fhp","A",5,39.4787049293518,-0.337507724761963
"134","ezpb86fhx","1",5,39.4787907600403,-0.337507724761963
"135","ezpb86fmu","0",5,39.4790053367615,-0.337293148040771
"136","ezpb86fx1","1",5,39.4792199134827,-0.33707857131958
"137","ezpb86g89","1",5,39.4781041145325,-0.335705280303955
"138","ezpb86g91","1",5,39.4781899452209,-0.335705280303955
"139","ezpb86gb0","A",5,39.478018283844,-0.335404872894287
"140","ezpb86gb8","0",5,39.4781041145325,-0.335404872894287
"141","ezpb86s5y","2",5,39.4772887229919,-0.334804058074951
"142","ezpb86s7v","1",5,39.4772887229919,-0.334503650665283
"143","ezpb86ssd","0",5,39.4774174690247,-0.334289073944092
"144","ezpb86sss","2",5,39.4774174690247,-0.334203243255615
"145","ezpb86su9","2",5,39.4774174690247,-0.333988666534424
"146","ezpb86sv9","2",5,39.4775891304016,-0.333988666534424
"147","ezpb86swf","1",5,39.4778037071228,-0.334289073944092
"148","ezpb86sx6","0",5,39.4778895378113,-0.334289073944092
"149","ezpb86sx6","2",5,39.4778895378113,-0.334289073944092
"150","ezpb86sy3","1",5,39.4777178764343,-0.333988666534424
"151","ezpb86syc","0",5,39.4778037071228,-0.333988666534424
"152","ezpb86syc","1",5,39.4778037071228,-0.333988666534424
"153","ezpb86syc","A",5,39.4778037071228,-0.333988666534424
"154","ezpb86sym","0",5,39.4777178764343,-0.333817005157471
"155","ezpb86sz3","2",5,39.4778895378113,-0.333988666534424
"156","ezpb86sz7","3",5,39.4778895378113,-0.333902835845947
"157","ezpb86u3p","0",5,39.4781899452209,-0.334417819976807
"158","ezpb86u43","A",5,39.4784045219421,-0.335018634796143
"159","ezpb86u8d","2",5,39.4781041145325,-0.334289073944092
"160","ezpb86u8h","0",5,39.478018283844,-0.334203243255615
"161","ezpb86u8h","2",5,39.478018283844,-0.334203243255615
"162","ezpb86u94","1",5,39.4781899452209,-0.334289073944092
"163","ezpb86u9h","0",5,39.4781899452209,-0.334203243255615
"164","ezpb86ub5","0",5,39.478018283844,-0.333902835845947
"165","ezpb86ub5","3",5,39.478018283844,-0.333902835845947
"166","ezpb86ub9","A",5,39.4781041145325,-0.333988666534424
"167","ezpb86ube","A",5,39.4781041145325,-0.333902835845947
"168","ezpb86ubj","1",5,39.478018283844,-0.333817005157471
"169","ezpb86ubt","2",5,39.4781041145325,-0.333817005157471
"170","ezpb86ubt","A",5,39.4781041145325,-0.333817005157471
"171","ezpb86uew","0",5,39.4786190986633,-0.334117412567139
"172","ezpb86uf7","0",5,39.4784045219421,-0.333902835845947
"173","ezpb86uf7","3",5,39.4784045219421,-0.333902835845947
"174","ezpb86ufc","0",5,39.4784903526306,-0.333988666534424
"175","ezpb86ufc","1",5,39.4784903526306,-0.333988666534424
"176","ezpb86ugt","4",5,39.4786190986633,-0.333817005157471
"177","ezpb86ure","0",5,39.4793057441711,-0.33458948135376
"178","ezpb86uu1","0",5,39.4787049293518,-0.333988666534424
"179","ezpb86uy3","A",5,39.47909116745,-0.333988666534424
"180","ezpb86uy7","A",5,39.47909116745,-0.333902835845947
"181","ezpb86uym","1",5,39.47909116745,-0.333817005157471
"182","ezpb86uym","A",5,39.47909116745,-0.333817005157471
"183","ezpb86v4u","4",5,39.4784903526306,-0.333516597747803
